City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Yulara,AU,-25.2406,130.9889,51.64,37,100,8.05,overcast clouds
327,Kruisfontein,ZA,-34.0033,24.7314,53.89,63,100,2.66,overcast clouds
328,Cabedelo,BR,-6.9811,-34.8339,83.07,75,97,15.12,overcast clouds
329,Thinadhoo,MV,0.5333,72.9333,84.07,79,100,19.95,heavy intensity rain
330,Qaqortoq,GL,60.7167,-46.0333,38.3,80,100,3.09,overcast clouds
331,Carnarvon,AU,-24.8667,113.6333,62.67,94,0,6.91,clear sky
332,Ballina,AU,-28.8667,153.5667,59.77,95,100,11.48,light rain
333,Cidreira,BR,-30.1811,-50.2056,68.07,72,0,12.88,clear sky
334,Zalegoshch,RU,52.9008,36.8869,51.55,93,100,7.34,overcast clouds
335,Katangli,RU,51.7102,143.2326,31.35,99,100,10.58,light snow
336,Ginda,IN,30.6945,78.4932,61.43,51,6,6.76,clear sky
337,Mwanza,TZ,-2.5167,32.9,73.83,66,89,2.71,overcast clouds
338,Virginia Beach,US,36.8529,-75.978,52.05,93,100,4.0,overcast clouds
339,Palana,RU,59.1167,159.9667,31.75,91,100,4.94,overcast clouds
340,Oktyabrskiy,RU,54.4815,53.471,49.75,48,100,2.53,overcast clouds
341,Darnah,LY,32.767,22.6367,63.16,87,8,16.4,clear sky
342,Chumikan,RU,54.7183,135.315,28.06,97,46,1.68,scattered clouds
343,Leningradskiy,RU,69.3833,178.4167,21.65,95,100,4.41,overcast clouds
